-33.45|-70.6667|200.27.2.3|Telmex Chile Internet S.A.|Chile|Santiago,failed,-33.45|-70.6667|200.27.5.58|Telmex Chile Internet S.A.|Chile|Santiago,-33.45|-70.6667|200.27.5.237|Telmex Chile Internet S.A.|Chile|Santiago,-33.45|-70.6667|200.27.5.194|Telmex Chile Internet S.A.|Chile|Santiago,-33.45|-70.6667|190.208.9.9|Telmex Servicios Empresariales S.A.|Chile|Santiago,-33.45|-70.6667|190.208.9.6|Telmex Servicios Empresariales S.A.|Chile|Santiago,40.7684|-74.1454|129.250.198.213|NTT America|United States|Kearny,39.6237|-104.8738|129.250.4.250|NTT America|United States|Englewood,39.6237|-104.8738|129.250.3.105|NTT America|United States|Englewood,39.6237|-104.8738|204.2.241.114|NTT America|United States|Englewood,37.3762|-122.1826|204.15.23.208|Facebook|United States|Palo Alto,53|-8|31.13.27.118|Facebook Ireland Ltd|Ireland|,53|-8|31.13.24.19|Facebook Ireland Ltd|Ireland|,,,,,
"35|105|182.50.8.1|Beijing Linktom Network Technology Co.,Ltd.|China|",39.9289|116.3883|121.101.208.133|Beijing Sun Rise Technology CO.LTD|China|Beijing,39.9289|116.3883|121.101.208.13|Beijing Sun Rise Technology CO.LTD|China|Beijing,39.9289|116.3883|61.148.157.45|China Unicom Beijing|China|Beijing,39.9289|116.3883|124.65.59.121|China Unicom Beijing|China|Beijing,39.9289|116.3883|124.65.194.37|China Unicom Beijing|China|Beijing,35|105|219.158.97.202|CNC group|China|,,,,,,,,,,,,
35|105|202.38.128.2|Institute of High Energy Physics|China|,39.9289|116.3883|202.122.36.1|Institute of High Energy Physics|China|Beijing,failed,39.9289|116.3883|159.226.253.77|China Science And Technology Network|China|Beijing,39.9289|116.3883|159.226.253.54|China Science And Technology Network|China|Beijing,,,,,,,,,,,,,,
49.7455|18.6218|78.157.167.1|SilesNet s.r.o.|Czech Republic|Cesky Tesin,49.7455|18.6218|78.157.167.65|SilesNet s.r.o.|Czech Republic|Cesky Tesin,"50.0833|14.4667|82.113.38.105|Dial Telecom, a.s.|Czech Republic|Prague","49.75|15.5|82.119.246.25|Dial Telecom, a.s.|Czech Republic|","49.75|15.5|82.119.245.97|Dial Telecom, a.s.|Czech Republic|","49.75|15.5|82.119.245.186|Dial Telecom, a.s.|Czech Republic|",50.1167|8.6833|80.81.194.40|DE-CIX Management GmbH|Germany|Frankfurt Am Main,53|-8|31.13.27.203|Facebook Ireland Ltd|Ireland|,53|-8|31.13.28.25|Facebook Ireland Ltd|Ireland|,53|-8|31.13.30.92|Facebook Ireland Ltd|Ireland|,53|-8|31.13.25.73|Facebook Ireland Ltd|Ireland|,53|-8|31.13.24.32|Facebook Ireland Ltd|Ireland|,53|-8|31.13.24.15|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,
56|10|87.72.98.17|ComX Networks A/S|Denmark|,56|10|87.72.99.97|ComX Networks A/S|Denmark|,52.35|4.9167|195.69.145.115|Amsterdam Internet Exchange B.V.|Netherlands|Amsterdam,53|-8|31.13.29.92|Facebook Ireland Ltd|Ireland|,53|-8|31.13.30.131|Facebook Ireland Ltd|Ireland|,53|-8|31.13.30.236|Facebook Ireland Ltd|Ireland|,37.3762|-122.1826|204.15.20.75|Facebook|United States|Palo Alto,53|-8|31.13.27.80|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,,,,
62|-7|212.55.32.7|Faroese Telecom|Faroe Islands|,62|-7|212.55.63.105|Faroese Telecom|Faroe Islands|,62|-7|212.55.63.77|Faroese Telecom|Faroe Islands|,62|-7|212.55.63.65|Faroese Telecom|Faroe Islands|,56|10|62.242.207.185|Tele Danmark|Denmark|,56|10|83.88.25.27|Tele Danmark|Denmark|,51.5142|-0.093099999999993|195.66.225.69|London Internet Exchange Ltd.|United Kingdom|London,53|-8|31.13.30.198|Facebook Ireland Ltd|Ireland|,53|-8|31.13.31.2|Facebook Ireland Ltd|Ireland|,53|-8|31.13.31.249|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.59|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,
60.2167|24.6667|193.166.4.254|CSC - Tieteen tietotekniikan keskus Oy|Finland|Espoo,64|26|193.166.187.185|CSC - Tieteen tietotekniikan keskus Oy|Finland|,62|15|109.105.102.61|NORDUnet|Sweden|,62|15|109.105.97.10|NORDUnet|Sweden|,62|15|109.105.97.117|NORDUnet|Sweden|,52.35|4.9167|195.69.145.115|Amsterdam Internet Exchange B.V.|Netherlands|Amsterdam,53|-8|31.13.29.90|Facebook Ireland Ltd|Ireland|,53|-8|31.13.30.99|Facebook Ireland Ltd|Ireland|,53|-8|31.13.30.236|Facebook Ireland Ltd|Ireland|,53|-8|31.13.31.235|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.59|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,
48.86|2.35|212.95.66.126|SdV-Plurimedia|France|,48.6004|7.7874|212.95.69.226|SdV-Plurimedia|France|Strasbourg,48.86|2.35|212.95.64.58|SdV-Plurimedia|France|,48.8667|2.3333|46.255.176.86|Neo Telecoms S.A.S.|France|Paris,48.86|2.35|83.167.55.118|Neo Telecoms S.A.S.|France|,48.86|2.35|83.167.56.159|Neo Telecoms S.A.S.|France|,48.86|2.35|83.167.55.116|Neo Telecoms S.A.S.|France|,48.86|2.35|37.49.236.174|France IX Services SASU|France|,37.3762|-122.1826|204.15.22.194|Facebook|United States|Palo Alto,37.3762|-122.1826|204.15.23.17|Facebook|United States|Palo Alto,37.3762|-122.1826|204.15.20.128|Facebook|United States|Palo Alto,53|-8|31.13.24.32|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.76|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,
failed,48.86|2.35|46.19.176.193|Linkbynet|France|,48.9333|2.3667|217.19.56.31|Linkbynet|France|Saint-denis,48.8667|2.3333|193.251.250.225|Orange|France|Paris,48.86|2.35|193.251.132.102|Orange|France|,48.8667|2.3333|193.251.252.238|Orange|France|Paris,37.3762|-122.1826|204.15.23.14|Facebook|United States|Palo Alto,53|-8|31.13.30.92|Facebook Ireland Ltd|Ireland|,53|-8|31.13.25.73|Facebook Ireland Ltd|Ireland|,53|-8|31.13.24.95|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.73|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,
51.65|6.1833|176.28.4.58|Host Europe GmbH|Germany|Höst,51.65|6.1833|176.28.4.73|Host Europe GmbH|Germany|Höst,51|9|217.243.217.253|Deutsche Telekom AG|Germany|,51|9|217.5.95.62|Deutsche Telekom AG|Germany|,51|9|80.157.128.166|Deutsche Telekom AG|Germany|,53|-8|31.13.27.203|Facebook Ireland Ltd|Ireland|,53|-8|31.13.28.25|Facebook Ireland Ltd|Ireland|,37.3762|-122.1826|204.15.23.17|Facebook|United States|Palo Alto,37.3762|-122.1826|204.15.20.128|Facebook|United States|Palo Alto,53|-8|31.13.24.86|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.67|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,
51|9|213.239.224.65|Hetzner Online AG|Germany|,51|9|213.239.245.121|Hetzner Online AG|Germany|,51|9|213.239.245.177|Hetzner Online AG|Germany|,51|9|213.239.245.5|Hetzner Online AG|Germany|,50.1167|8.6833|80.81.194.40|DE-CIX Management GmbH|Germany|Frankfurt Am Main,53|-8|31.13.27.203|Facebook Ireland Ltd|Ireland|,37.3762|-122.1826|74.119.78.112|Facebook|United States|Palo Alto,53|-8|31.13.30.92|Facebook Ireland Ltd|Ireland|,37.3762|-122.1826|204.15.20.128|Facebook|United States|Palo Alto,37.3762|-122.1826|204.15.20.128|Facebook|United States|Palo Alto,53|-8|31.13.27.69|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.67|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,
